id,user_name,gender,comment,date
1,Белозеров Мартьян Терентьевич,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-05-16
2,Максим Геннадиевич Кудряшов,ayol,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2024-06-12
3,Галкина Татьяна Павловна,ayol,Operatorlar bilan bog'lanish qiyinroq bo'ldi,2025-02-08
4,Автоном Бориславович Рогов,ayol,Kartani yangilash uchun ko'p vaqt ketdi,2025-03-04
5,Носова Наина Оскаровна,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-02-06
6,Клавдия Геннадиевна Турова,erkak,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2024-05-18
7,Ангелина Геннадьевна Устинова,erkak,Kechirasiz,2025-01-13
8,Алексеева Эмилия Феликсовна,erkak,Rahmat,2024-06-17
9,Октябрина Тимуровна Рябова,erkak,"Mening hisobimdan pul yechilmagan bo'lsa ham, balans kamaydi. Bunday xatolar mijoz ishonchini kamaytiradi. Iltimos, bu masalaga jiddiy yondashing.",2024-09-13
10,Кузьмин Куприян Бориславович,erkak,Yaxshi,2024-05-15
11,Кабанов Кирилл Матвеевич,erkak,Kechirasiz,2024-10-11
12,Мельникова Василиса Юрьевна,erkak,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-02-11
13,Виноградов Юлий Даниилович,erkak,Yaxshi,2024-11-06
14,Кондрат Трифонович Гущин,ayol,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2024-06-10
15,Трофимова Маргарита Кузьминична,ayol,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2024-06-20
16,Любосмысл Ермилович Кошелев,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2025-02-01
17,Лариса Григорьевна Селезнева,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2024-06-07
18,Ангелина Филипповна Беляева,erkak,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2024-05-23
19,Данилова Анжела Григорьевна,erkak,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2024-09-13
20,Семен Вячеславович Журавлев,erkak,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2025-02-09
21,Колобов Дмитрий Фокич,ayol,Yaxshi,2024-11-17
22,Марк Валентинович Крюков,ayol,Operatorlar bilan bog'lanish qiyinroq bo'ldi,2024-08-27
23,Ираида Александровна Зимина,ayol,"Salom, Anorbank ilovasidan juda mamnunman. Avval ko'p muammolar bo'lgan edi, lekin hozirgi yangilanishlardan keyin deyarli barcha xatoliklar tuzatilgan. Tezkor xizmat uchun rahmat!",2024-05-02
24,Аркадий Артёмович Мамонтов,erkak,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2025-04-26
25,Маргарита Борисовна Ефимова,erkak,"Hisobim bloklandi, yordam bering iltimos",2024-10-31
26,Анжелика Ефимовна Носова,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-03-08
27,Буров Григорий Фомич,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-07-23
28,Фролов Виталий Ильич,ayol,"Mening hisobimdan pul yechilmagan bo'lsa ham, balans kamaydi. Bunday xatolar mijoz ishonchini kamaytiradi. Iltimos, bu masalaga jiddiy yondashing.",2024-11-11
29,Владлен Антипович Гурьев,ayol,"Mening hisobimdan pul yechilmagan bo'lsa ham, balans kamaydi. Bunday xatolar mijoz ishonchini kamaytiradi. Iltimos, bu masalaga jiddiy yondashing.",2024-06-22
30,Гаврилов Борис Валерьянович,erkak,Tezroq,2025-04-16
31,Хохлова Ольга Кирилловна,ayol,Rahmat,2025-03-24
32,Василиса Рубеновна Шилова,ayol,Gap yo'q,2024-07-28
33,Морозов Станислав Аверьянович,erkak,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2024-06-09
34,Сорокин Тихон Феодосьевич,erkak,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2025-02-25
35,Конон Теймуразович Субботин,erkak,Yaxshi,2025-04-04
36,Яковлев Никифор Трифонович,ayol,Kechirasiz,2024-11-14
37,Клавдия Натановна Борисова,erkak,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2024-07-19
38,Афанасьева Алла Егоровна,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2025-03-02
39,Никитин Соломон Федотович,erkak,Rahmat,2024-05-14
40,Архипов Эммануил Исидорович,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-10-03
41,Соколов Остап Брониславович,erkak,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2024-08-26
42,Клавдий Аверьянович Кулагин,ayol,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2024-10-06
43,Данилова Эмилия Наумовна,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2025-01-02
44,Лавр Гавриилович Бобров,ayol,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2025-03-20
45,Николаев Нифонт Егорович,erkak,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2024-05-20
46,Федосий Харлампьевич Кулаков,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-07-07
47,Никонов Фотий Игоревич,ayol,Kechirasiz,2025-03-13
48,Блохина Маргарита Рубеновна,ayol,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2024-06-21
49,Алексей Бориславович Николаев,erkak,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2025-02-15
50,Ирина Григорьевна Дьячкова,ayol,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2025-04-26
51,Лавр Валерианович Шестаков,ayol,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2024-10-14
52,Пелагея Вадимовна Романова,ayol,Operatorlar bilan bog'lanish qiyinroq bo'ldi,2024-12-20
53,Таисия Михайловна Морозова,ayol,Gap yo'q,2025-02-04
54,Фаина Даниловна Данилова,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-09-26
55,Шилов Геннадий Адамович,erkak,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2025-01-12
56,Антип Всеволодович Доронин,ayol,Operatorlar bilan bog'lanish qiyinroq bo'ldi,2025-04-06
57,Эмилия Степановна Павлова,ayol,Gap yo'q,2024-11-22
58,Голубева Олимпиада Вадимовна,ayol,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2024-07-26
59,Ким Богданович Лукин,ayol,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2024-11-27
60,Щербакова Алла Святославовна,erkak,Norozi,2024-07-14
61,Лебедев Никандр Ерофеевич,erkak,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-05-10
62,Милан Эдгарович Устинов,erkak,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-11-10
63,Белоусов Никита Адрианович,erkak,"Hisobim bloklandi, yordam bering iltimos",2025-01-07
64,Лукия Феликсовна Лаврентьева,erkak,"Mening hisobimdan pul yechilmagan bo'lsa ham, balans kamaydi. Bunday xatolar mijoz ishonchini kamaytiradi. Iltimos, bu masalaga jiddiy yondashing.",2024-10-20
65,Доронин Ферапонт Брониславович,ayol,Kartani yangilash uchun ko'p vaqt ketdi,2025-01-25
66,Арсений Георгиевич Лыткин,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-05-05
67,Оксана Харитоновна Зыкова,erkak,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2025-03-22
68,Лапин Силантий Эдгарович,ayol,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2024-08-20
69,Лидия Игоревна Фадеева,ayol,Gap yo'q,2025-02-03
70,Эмилия Дмитриевна Афанасьева,erkak,Gap yo'q,2024-07-29
71,Рябов Онуфрий Тихонович,ayol,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2025-04-22
72,Савелий Демьянович Галкин,ayol,Gap yo'q,2024-10-22
73,Комиссарова Таисия Федоровна,ayol,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2025-02-28
74,Смирнова Евпраксия Георгиевна,erkak,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2024-09-06
75,Ксения Болеславовна Виноградова,erkak,Yaxshi,2024-08-05
76,Лонгин Эдуардович Ершов,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2024-05-20
77,Тетерина Фёкла Ивановна,ayol,Norozi,2025-04-16
78,Гордей Филиппович Громов,erkak,"Mening hisobimdan pul yechilmagan bo'lsa ham, balans kamaydi. Bunday xatolar mijoz ishonchini kamaytiradi. Iltimos, bu masalaga jiddiy yondashing.",2025-02-15
79,Юлиан Владиленович Пестов,ayol,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2025-04-20
80,Никон Авдеевич Одинцов,erkak,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2025-04-16
81,Медведев Аполлон Германович,erkak,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2024-11-09
82,Чернова Людмила Робертовна,ayol,Norozi,2024-12-29
83,Якуб Власович Беляков,ayol,"Hisobim bloklandi, yordam bering iltimos",2025-04-25
84,Константинова Эмилия Геннадиевна,erkak,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2025-02-17
85,Горбунова Анжелика Игоревна,erkak,Gap yo'q,2025-02-26
86,Миронова Алевтина Николаевна,erkak,Rahmat,2025-03-12
87,Крюков Емельян Марсович,ayol,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-11-27
88,г-н Лаврентьев Матвей Ярославович,erkak,Yaxshi,2024-08-16
89,Лидия Геннадьевна Васильева,ayol,"Salom, Anorbank ilovasidan juda mamnunman. Avval ko'p muammolar bo'lgan edi, lekin hozirgi yangilanishlardan keyin deyarli barcha xatoliklar tuzatilgan. Tezkor xizmat uchun rahmat!",2024-09-08
90,Евграф Викентьевич Одинцов,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2025-02-06
91,Одинцова Алина Робертовна,erkak,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2024-05-18
92,Трофим Гертрудович Смирнов,erkak,Gap yo'q,2024-10-25
93,Адриан Устинович Крюков,erkak,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-03-01
94,Дроздов Филарет Валерьянович,erkak,Operatorlar bilan bog'lanish qiyinroq bo'ldi,2025-02-07
95,Гордеева Ульяна Богдановна,erkak,Zo'r!,2025-04-07
96,Мельникова Анжела Руслановна,erkak,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2024-12-20
97,Тарасова Евфросиния Оскаровна,ayol,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2025-01-24
98,Радим Всеволодович Мясников,ayol,"Salom, Anorbank ilovasidan juda mamnunman. Avval ko'p muammolar bo'lgan edi, lekin hozirgi yangilanishlardan keyin deyarli barcha xatoliklar tuzatilgan. Tezkor xizmat uchun rahmat!",2025-03-03
99,Зуев Григорий Абрамович,erkak,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2024-07-19
100,Гаврила Антонович Архипов,ayol,"Salom, Anorbank ilovasidan juda mamnunman. Avval ko'p muammolar bo'lgan edi, lekin hozirgi yangilanishlardan keyin deyarli barcha xatoliklar tuzatilgan. Tezkor xizmat uchun rahmat!",2024-11-18
101,Алевтина Борисовна Панфилова,ayol,Gap yo'q,2024-11-21
102,Софон Глебович Суворов,ayol,Kechirasiz,2025-04-07
103,Стрелков Ладимир Гаврилович,erkak,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-08-02
104,Ия Николаевна Лапина,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2024-10-06
105,Ильина Варвара Рубеновна,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-01-15
106,Гедеон Дмитриевич Лазарев,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2024-08-27
107,Якушева Кира Константиновна,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-10-21
108,Морозова Феврония Станиславовна,erkak,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2024-11-25
109,Александрова Лора Антоновна,ayol,Kartani yangilash uchun ko'p vaqt ketdi,2024-09-13
110,Романов Милен Вячеславович,erkak,"Hisobim bloklandi, yordam bering iltimos",2024-10-23
111,Людмила Олеговна Наумова,ayol,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2025-04-09
112,Емельянов Савелий Трофимович,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2025-02-26
113,Лебедев Агафон Иосифович,erkak,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2025-03-09
114,Большакова Евдокия Матвеевна,ayol,Rahmat,2024-08-29
115,Бобров Трифон Евсеевич,ayol,Yaxshi,2024-08-20
116,Галина Харитоновна Власова,ayol,Rahmat,2025-01-24
117,Калашников Данила Изотович,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2025-03-25
118,Брагин Харлампий Антипович,erkak,Rahmat,2025-03-14
119,Бобров Павел Федотович,erkak,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2024-06-05
120,Гуляева София Натановна,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-04-15
121,Феврония Вячеславовна Селезнева,erkak,Gap yo'q,2024-05-29
122,Евстигней Витальевич Медведев,ayol,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2024-06-16
123,тов. Третьякова Феврония Олеговна,ayol,"Hisobim bloklandi, yordam bering iltimos",2025-04-23
124,Иванов Аверкий Эдуардович,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2025-03-11
125,Соловьев Всемил Германович,ayol,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2024-09-12
126,Ювеналий Ермилович Афанасьев,ayol,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2025-03-02
127,Орехов Лучезар Федосеевич,erkak,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2024-11-13
128,Лапин Савватий Григорьевич,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2025-01-12
129,Смирнова Глафира Юрьевна,ayol,Gap yo'q,2024-07-08
130,Наумов Епифан Фадеевич,erkak,Zo'r!,2024-12-05
131,Клавдия Львовна Киселева,erkak,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2024-12-24
